B,T,GDAY_DS,T_ID,P_ID,TB_SC,BF,PA-AB,AB,HIT,H1,H2,H3,HR,SB_SR,KK,WP,SLG,BABIP,KK9,BB9,INN2,ER
0,1,2020-07-19,OB,76329,T,22,0,4,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.21,0.57
1,0,2020-07-18,SK,76350,B,16,1,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,9.0,3.21,0.54
1,0,2020-07-16,LT,76355,B,93,2,20,8,6,1,0,1,0.0,3,0,2,0.4375,6.230769230769233,4.153846153846153,14.94,2.62
0,1,2020-07-17,WO,76430,T,13,1,2,0,0,0,0,0,0.0,1,0,0,0.0,13.5,13.5,3.15,0.52
1,0,2020-07-18,LG,76455,B,106,3,24,5,4,1,0,0,0.0,1,1,1,0.21739130434782608,1.2857142857142856,3.8571428571428568,16.91,2.54
1,0,2020-07-19,LG,76650,B,17,0,4,1,1,0,0,0,0.0,2,0,0,0.5,18.0,0.0,3.24,0.56
0,1,2020-07-19,KT,76757,T,14,1,3,0,0,0,0,0,0.0,1,0,0,0.0,9.0,9.0,3.22,0.52
0,1,2020-07-15,SK,76858,T,21,1,4,2,1,1,0,0,0.0,1,0,1,0.6666666666666666,13.5,13.5,3.39,0.69
0,1,2020-06-03,OB,77211,T,96,0,24,9,5,2,0,2,0.0,3,0,4,0.3684210526315789,5.4,0.0,16.28,2.78
1,0,2020-07-03,OB,77263,B,13,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,2.91,0.61
0,1,2020-07-18,HH,77318,T,98,5,19,3,2,0,0,1,1.0,6,0,1,0.16666666666666666,9.0,6.0,15.71,2.65
1,0,2020-07-15,SS,77446,B,96,3,20,3,3,0,0,0,0.0,4,0,0,0.1875,6.352941176470589,3.1764705882352944,15.13,2.62
0,1,2020-07-18,KT,77563,T,23,3,2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.0,3.48,0.45
1,0,2020-07-10,LT,77591,B,35,1,5,2,1,0,1,0,0.0,2,0,1,0.6666666666666666,18.0,9.0,3.15,0.59
0,1,2020-07-16,HT,77637,T,77,4,16,8,6,0,0,2,0.6666666666666666,3,0,2,0.5454545454545454,8.1,8.1,13.8,2.45
0,1,2020-07-08,SS,77927,T,31,1,6,4,3,0,0,1,0.0,0,0,1,0.6,0.0,13.5,3.81,0.64
0,1,2020-07-16,LG,78148,T,92,2,26,9,7,1,0,1,0.0,6,0,2,0.42105263157894735,9.529411764705884,3.1764705882352944,16.59,2.82
1,0,2020-07-19,HT,78247,B,27,2,4,1,0,1,0,0,0.0,1,0,1,0.3333333333333333,9.0,18.0,3.56,0.71
1,0,2020-07-03,NC,78352,B,30,3,4,2,1,1,0,0,0.0,1,0,1,0.5,9.0,18.0,3.14,0.89
0,1,2020-05-30,KT,78517,T,37,5,4,2,2,0,0,0,0.0,0,0,0,0.5,0.0,67.5,6.02,1.27
1,0,2020-07-16,LT,78536,B,10,1,1,1,1,0,0,0,1.0,0,0,0,1.0,0.0,27.0,3.02,0.62
1,0,2020-07-10,LG,78819,B,26,1,5,3,2,1,0,0,0.0,0,0,1,0.5,0.0,0.0,3.34,0.76
1,0,2020-07-17,LG,79140,B,11,0,2,0,0,0,0,0,0.0,1,0,0,0.0,9.0,0.0,3.28,0.57
0,1,2020-07-17,OB,79229,T,97,4,23,8,4,3,0,1,0.0,3,0,4,0.3684210526315789,4.5,3.0,15.42,2.85
1,0,2020-07-16,LT,79293,B,16,1,3,1,1,0,0,0,0.0,0,0,0,0.3333333333333333,0.0,9.0,3.23,0.64
1,0,2020-07-18,NC,79358,B,9,0,4,1,0,0,0,1,0.0,0,0,1,0.0,0.0,0.0,3.23,0.6
0,1,2020-07-17,LT,79545,T,26,2,4,2,2,0,0,0,0.0,0,0,0,0.4,0.0,9.0,3.22,0.75
1,0,2020-07-08,HH,79764,B,31,1,6,4,3,0,0,1,1.0,1,1,1,0.75,13.5,13.5,4.52,1.01
0,1,2020-07-16,LG,79825,T,19,0,6,3,1,1,0,1,0.0,0,1,2,0.4,0.0,0.0,3.97,0.66
1,0,2020-07-09,SK,79847,B,12,0,2,2,2,0,0,0,1.0,0,0,0,1.0,0.0,0.0,3.23,0.71
0,1,2020-06-28,SS,99445,T,20,1,2,1,0,1,0,0,0.0,0,0,1,0.5,0.0,27.0,3.57,0.61
